sk_municipio,nm_municipio,nm_pais,nm_estado,nm_uf,longitude,latitude
272,Treviso,Brasil,Santa Catarina,SC,"-49,45593338","-28,51848486"
273,Treze de Maio,Brasil,Santa Catarina,SC,"-49,14481531","-28,55814004"
274,Treze Tílias,Brasil,Santa Catarina,SC,"-51,41467467","-26,99853631"
275,Trombudo Central,Brasil,Santa Catarina,SC,"-49,79247823","-27,30301953"
276,Tubarão,Brasil,Santa Catarina,SC,"-49,00526808","-28,48003395"
277,Tunápolis,Brasil,Santa Catarina,SC,"-53,64145974","-26,97222359"
278,Turvo,Brasil,Santa Catarina,SC,"-49,68086575","-28,9247492"
279,União do Oeste,Brasil,Santa Catarina,SC,"-52,85149646","-26,761737"
280,Urubici,Brasil,Santa Catarina,SC,"-49,58820561","-28,0045549"
281,Urupema,Brasil,Santa Catarina,SC,"-49,87321124","-27,9526858"
282,Urussanga,Brasil,Santa Catarina,SC,"-49,31910792","-28,5199662"
283,Vargeão,Brasil,Santa Catarina,SC,"-52,15410565","-26,86398332"
284,Vargem,Brasil,Santa Catarina,SC,"-50,97815063","-27,4899701"
285,Vargem Bonita,Brasil,Santa Catarina,SC,"-51,74474018","-27,0032416"
286,Vidal Ramos,Brasil,Santa Catarina,SC,"-49,36821917","-27,3957787"
287,Videira,Brasil,Santa Catarina,SC,"-51,15170528","-27,00612907"
288,Vitor Meireles,Brasil,Santa Catarina,SC,"-49,83075196","-26,8815776"
289,Witmarsum,Brasil,Santa Catarina,SC,"-49,80420338","-26,9267427"
290,Xanxerê,Brasil,Santa Catarina,SC,"-52,40466714","-26,8745845"
291,Xavantina,Brasil,Santa Catarina,SC,"-52,34285051","-27,07025015"
292,Xaxim,Brasil,Santa Catarina,SC,"-52,53493252","-26,9637195"
293,Zortéa,Brasil,Santa Catarina,SC,"-51,54956631","-27,45025141"
