sk_municipio,nm_municipio,nm_pais,nm_estado,nm_uf,longitude,latitude,cd_ibge,Match_Type_IBGE,Match_Score_IBGE
135,Jaraguá do Sul,Brasil,Santa Catarina,SC,"-49,07629882","-26,49048435",4208906,Exact,100
136,Jardinópolis,Brasil,Santa Catarina,SC,"-52,85889926","-26,7205694",4208955,Exact,100
137,Joaçaba,Brasil,Santa Catarina,SC,"-51,50668973","-27,17394453",4209003,Exact,100
138,Joinville,Brasil,Santa Catarina,SC,"-48,84940914","-26,30451765",4209102,Exact,100
139,José Boiteux,Brasil,Santa Catarina,SC,"-49,62380669","-26,95468262",4209151,Exact,100
140,Jupiá,Brasil,Santa Catarina,SC,"-52,73438054","-26,3937028",4209177,Exact,100
141,Lacerdópolis,Brasil,Santa Catarina,SC,"-51,56286637","-27,26460009",4209201,Exact,100
142,Lages,Brasil,Santa Catarina,SC,"-50,33022242","-27,81725946",4209300,Exact,100
143,Laguna,Brasil,Santa Catarina,SC,"-48,78138862","-28,48358595",4209409,Exact,100
144,Lajeado Grande,Brasil,Santa Catarina,SC,"-52,56603485","-26,8609423",4209458,Exact,100
145,Laurentino,Brasil,Santa Catarina,SC,"-49,75526366","-27,2123881",4209508,Exact,100
146,Lauro Muller,Brasil,Santa Catarina,SC,"-49,39430727","-28,39358517",4209607,Exact,100
147,Lebon Régis,Brasil,Santa Catarina,SC,"-50,69182786","-26,92911401",4209706,Exact,100
148,Leoberto Leal,Brasil,Santa Catarina,SC,"-49,2894015","-27,5063895",4209805,Exact,100
149,Lindóia do Sul,Brasil,Santa Catarina,SC,"-52,08092264","-27,04746448",4209854,Exact,100
150,Lontras,Brasil,Santa Catarina,SC,"-49,54482935","-27,15748656",4209904,Exact,100
151,Luiz Alves,Brasil,Santa Catarina,SC,"-48,92604677","-26,72111079",4210001,Exact,100
152,Luzerna,Brasil,Santa Catarina,SC,"-51,46794604","-27,12989607",4210035,Exact,100
153,Macieira,Brasil,Santa Catarina,SC,"-51,37612198","-26,8552124",4210050,Exact,100
154,Mafra,Brasil,Santa Catarina,SC,"-49,80103753","-26,11522849",4210100,Exact,100
155,Major Gercino,Brasil,Santa Catarina,SC,"-48,95335396","-27,41866041",4210209,Exact,100
156,Major Vieira,Brasil,Santa Catarina,SC,"-50,33298684","-26,35752654",4210308,Exact,100
157,Maracajá,Brasil,Santa Catarina,SC,"-49,45437632","-28,85031461",4210407,Exact,100
158,Maravilha,Brasil,Santa Catarina,SC,"-53,17481882","-26,76162395",4210506,Exact,100
159,Marema,Brasil,Santa Catarina,SC,"-52,62713541","-26,8004219",4210555,Exact,100
160,Massaranduba,Brasil,Santa Catarina,SC,"-48,98874466","-26,59545801",4210605,Exact,100
161,Matos Costa,Brasil,Santa Catarina,SC,"-51,15745144","-26,4741154",4210704,Exact,100
162,Meleiro,Brasil,Santa Catarina,SC,"-49,62984936","-28,83244582",4210803,Exact,100
163,Mirim Doce,Brasil,Santa Catarina,SC,"-50,06856371","-27,2012051",4210852,Exact,100
164,Modelo,Brasil,Santa Catarina,SC,"-53,0535008","-26,77804208",4210902,Exact,100
165,Mondaí,Brasil,Santa Catarina,SC,"-53,39868403","-27,10361169",4211009,Exact,100
166,Monte Carlo,Brasil,Santa Catarina,SC,"-50,97410468","-27,2176788",4211058,Exact,100
167,Monte Castelo,Brasil,Santa Catarina,SC,"-50,22627143","-26,4563625",4211108,Exact,100
168,Morro da Fumaça,Brasil,Santa Catarina,SC,"-49,21325651","-28,65478784",4211207,Exact,100
169,Morro Grande,Brasil,Santa Catarina,SC,"-49,71879998","-28,7997195",4211256,Exact,100
170,Navegantes,Brasil,Santa Catarina,SC,"-48,6491829","-26,89743912",4211306,Exact,100
171,Nova Veneza,Brasil,Santa Catarina,SC,"-49,50312358","-28,6382326",4211603,Exact,100
172,Nova Erechim,Brasil,Santa Catarina,SC,"-52,91128667","-26,9012734",4211405,Exact,100
173,Nova Itaberaba,Brasil,Santa Catarina,SC,"-52,81124405","-26,94288988",4211454,Exact,100
174,Nova Trento,Brasil,Santa Catarina,SC,"-48,92579543","-27,28777117",4211504,Exact,100
